Type	POS	Headword	Rank	Freq_Tar	Freq_Ref	Range_Tar	Range_Ref	NormFreq_Tar	NormFreq_Ref	NormRange_Tar	NormRange_Ref	Keyness (Likelihood)	Keyness (Effect)
получить	None	None	27	33	70	2	1	1336.086	246.252	0.667	1.000	49.242	0.003
которое	None	None	27	34	80	3	1	1376.574	281.431	1.000	1.000	46.221	0.003
стороны	None	None	27	32	107	2	1	1295.599	376.413	0.667	1.000	29.551	0.003
людей	None	None	27	43	197	3	1	1740.961	693.023	1.000	1.000	24.466	0.003
дело	None	None	27	35	155	3	1	1417.061	545.272	1.000	1.000	21.165	0.003
предвестие	None	None	43	28	0	2	0	1133.649	0.000	0.667	0.000	141.511	0.002
вашего	None	None	43	26	3	3	1	1052.674	10.554	1.000	1.000	112.610	0.002
видите	None	None	43	30	10	3	1	1214.624	35.179	1.000	1.000	108.298	0.002
ждите	None	None	43	19	0	3	0	769.262	0.000	1.000	0.000	96.019	0.002
будете	None	None	43	28	12	3	1	1133.649	42.215	1.000	1.000	94.639	0.002
болезнь	None	None	43	28	12	3	1	1133.649	42.215	1.000	1.000	94.639	0.002
сулит	None	None	43	21	2	3	1	850.237	7.036	1.000	1.000	92.870	0.002
успех	None	None	43	29	15	3	1	1174.137	52.768	1.000	1.000	92.598	0.002
неприятности	None	None	43	23	5	3	1	931.212	17.589	1.000	1.000	90.793	0.002
ваше	None	None	43	26	10	3	1	1052.674	35.179	1.000	1.000	90.525	0.002
близких	None	None	43	22	4	3	1	890.724	14.072	1.000	1.000	89.523	0.002
вашу	None	None	43	21	3	3	1	850.237	10.554	1.000	1.000	88.542	0.002
предстоит	None	None	43	24	13	3	1	971.699	45.732	1.000	1.000	75.483	0.002
ваша	None	None	43	22	9	3	1	890.724	31.661	1.000	1.000	75.329	0.002
удастся	None	None	43	21	15	3	1	850.237	52.768	1.000	1.000	59.723	0.002
ваш	None	None	43	21	19	3	1	850.237	66.840	1.000	1.000	53.939	0.002
любви	None	None	43	22	22	2	1	890.724	77.393	0.667	1.000	53.848	0.002
реальной	None	None	43	19	14	3	1	769.262	49.250	1.000	1.000	53.363	0.002
человеком	None	None	43	22	34	2	1	890.724	119.608	0.667	1.000	41.802	0.002
возможно	None	None	43	25	62	3	1	1012.187	218.109	1.000	1.000	32.309	0.002
положение	None	None	43	19	36	3	1	769.262	126.644	1.000	1.000	31.109	0.002
сами	None	None	43	26	85	3	1	1052.674	299.020	1.000	1.000	24.709	0.002
свое	None	None	43	26	87	3	1	1052.674	306.056	1.000	1.000	23.985	0.002
деле	None	None	43	22	67	3	1	890.724	235.698	1.000	1.000	22.796	0.002
увиденный	None	None	67	14	0	2	0	566.825	0.000	0.667	0.000	70.748	0.001
неприятностей	None	None	67	17	3	3	1	688.287	10.554	1.000	1.000	69.501	0.001
увиденная	None	None	67	13	0	2	0	526.337	0.000	0.667	0.000	65.694	0.001
приснившийся	None	None	67	13	0	2	0	526.337	0.000	0.667	0.000	65.694	0.001
вашем	None	None	67	16	3	3	1	647.800	10.554	1.000	1.000	64.781	0.001
вашим	None	None	67	18	7	3	1	728.774	24.625	1.000	1.000	62.482	0.001
беспокойство	None	None	67	15	3	3	1	607.312	10.554	1.000	1.000	60.081	0.001
означать	None	None	67	13	1	3	1	526.337	3.518	1.000	1.000	58.656	0.001
родственников	None	None	67	17	8	3	1	688.287	28.143	1.000	1.000	55.899	0.001
варить	None	None	67	11	0	1	0	445.362	0.000	0.333	0.000	55.586	0.001
приснился	None	None	67	11	0	3	0	445.362	0.000	1.000	0.000	55.586	0.001
потерять	None	None	67	14	3	2	1	566.825	10.554	0.667	1.000	55.404	0.001
белье	None	None	67	13	2	1	1	526.337	7.036	0.333	1.000	54.247	0.001
ждет	None	None	67	17	9	3	1	688.287	31.661	1.000	1.000	53.867	0.001
будьте	None	None	67	12	1	3	1	485.850	3.518	1.000	1.000	53.756	0.001
принесет	None	None	67	14	4	3	1	566.825	14.072	1.000	1.000	52.345	0.001
ожидает	None	None	67	16	8	3	1	647.800	28.143	1.000	1.000	51.636	0.001
девушке	None	None	67	10	0	2	0	404.875	0.000	0.667	0.000	50.533	0.001
приснилось	None	None	67	10	0	2	0	404.875	0.000	0.667	0.000	50.533	0.001
приснившаяся	None	None	67	10	0	2	0	404.875	0.000	0.667	0.000	50.533	0.001
ожидают	None	None	67	11	1	3	1	445.362	3.518	1.000	1.000	48.869	0.001
печали	None	None	67	11	1	2	1	445.362	3.518	0.667	1.000	48.869	0.001
успеху	None	None	67	11	1	2	1	445.362	3.518	0.667	1.000	48.869	0.001
радость	None	None	67	17	12	3	1	688.287	42.215	1.000	1.000	48.572	0.001
перемены	None	None	67	14	6	3	1	566.825	21.107	1.000	1.000	47.313	0.001
препятствия	None	None	67	14	6	3	1	566.825	21.107	1.000	1.000	47.313	0.001
предупреждение	None	None	67	12	3	2	1	485.850	10.554	0.667	1.000	46.128	0.001
слышать	None	None	67	15	9	3	1	607.312	31.661	1.000	1.000	45.546	0.001
предвещают	None	None	67	9	0	2	0	364.387	0.000	0.667	0.000	45.479	0.001
опасайтесь	None	None	67	9	0	2	0	364.387	0.000	0.667	0.000	45.479	0.001
испытаете	None	None	67	9	0	2	0	364.387	0.000	0.667	0.000	45.479	0.001
сновидение	None	None	67	9	0	2	0	364.387	0.000	0.667	0.000	45.479	0.001
венок	None	None	67	9	0	1	0	364.387	0.000	0.333	0.000	45.479	0.001
разочарование	None	None	67	11	2	3	1	445.362	7.036	1.000	1.000	44.757	0.001
