Type	POS	Headword	Rank	Freq_Tar	Freq_Ref	Range_Tar	Range_Ref	NormFreq_Tar	NormFreq_Ref	NormRange_Tar	NormRange_Ref	Keyness (Likelihood)	Keyness (Effect)
составе	None	None	72	84	15	8	1	557.628	52.768	1.000	1.000	106.686	0.001
оба	None	None	75	61	14	8	1	404.944	49.250	1.000	1.000	69.064	0.001
гостей	None	None	75	52	14	8	1	345.198	49.250	1.000	1.000	53.968	0.001
лучших	None	None	75	45	14	8	1	298.729	49.250	1.000	1.000	42.677	0.001
играет	None	None	75	34	14	7	1	225.707	49.250	0.875	1.000	26.056	0.000
кг	None	None	79	49	13	7	1	325.283	45.732	0.875	1.000	51.289	0.001
серии	None	None	79	41	13	8	1	272.176	45.732	1.000	1.000	38.391	0.001
интервью	None	None	79	40	13	8	1	265.537	45.732	1.000	1.000	36.827	0.001
дмитрий	None	None	79	31	13	8	1	205.791	45.732	1.000	1.000	23.380	0.000
игры	None	None	83	176	12	8	1	1168.364	42.215	1.000	1.000	294.279	0.002
вчера	None	None	83	80	12	8	1	531.074	42.215	1.000	1.000	108.620	0.001
втором	None	None	83	54	12	8	1	358.475	42.215	1.000	1.000	62.134	0.001
ребята	None	None	83	51	12	8	1	338.560	42.215	1.000	1.000	57.007	0.001
провел	None	None	83	49	12	8	1	325.283	42.215	1.000	1.000	53.626	0.001
премьер	None	None	83	37	12	8	1	245.622	42.215	1.000	1.000	34.114	0.000
лучший	None	None	83	34	12	8	1	225.707	42.215	1.000	1.000	29.500	0.000
нормально	None	None	83	31	12	8	1	205.791	42.215	1.000	1.000	25.024	0.000
победы	None	None	91	61	11	8	1	404.944	38.697	1.000	1.000	77.157	0.001
удар	None	None	91	57	11	8	1	378.391	38.697	1.000	1.000	70.042	0.001
ходу	None	None	91	30	11	8	1	199.153	38.697	1.000	1.000	25.284	0.000
тяжело	None	None	91	29	11	8	1	192.515	38.697	1.000	1.000	23.797	0.000
играть	None	None	95	148	10	8	1	982.488	35.179	1.000	1.000	247.869	0.002
команде	None	None	95	138	10	8	1	916.104	35.179	1.000	1.000	228.005	0.002
победу	None	None	95	93	10	8	1	617.374	35.179	1.000	1.000	140.103	0.001
франция	None	None	95	60	10	8	1	398.306	35.179	1.000	1.000	78.329	0.001
преимущество	None	None	95	39	10	8	1	258.899	35.179	1.000	1.000	41.619	0.001
минуты	None	None	95	38	10	8	1	252.260	35.179	1.000	1.000	39.960	0.001
